task_id,dataset,model,auc_ovo,accuracy,g_mean,cross_entropy,fit_time_s,predict_time_s,total_time_s
363707,website_phishing,catboost,0.960899697095121,0.8571428571428571,0.7524626313860734,0.3394441972046113,0.7769725199977984,0.0101537449991155,0.787126264996914
363707,website_phishing,group_model,0.964629143501342,0.8866995073891626,0.872034796166049,0.326060428243495,1.1432189480001398,0.0266633560022455,1.1698823040023854
363671,Fitness_Club,lightgbm,0.8236230798051705,0.7577777777777778,0.5738787592109598,0.4966298940807657,0.6723180629996932,0.0086061559995869,0.6809242189992801
363671,Fitness_Club,xgboost,0.771637317347321,0.7422222222222222,0.4887264093383059,0.5338603099187799,0.7628217029996449,0.0092040259987697,0.7720257289984147
363671,Fitness_Club,catboost,0.768768733608093,0.7622222222222222,0.6346805558845996,0.6633387762579867,1.0497828090010444,0.0087963379992288,1.0585791470002732
363671,Fitness_Club,group_model,0.8180732484076433,0.7733333333333333,0.6232318563717303,0.4769704107955397,1.6931497400000808,0.0267040069993527,1.7198537469994335
363711,MIC,lightgbm,0.6632665156812884,0.8745098039215686,2.3622698379253072e-08,0.5202839462663339,0.7164472920012486,0.0680687509993731,0.7845160430006217
363711,MIC,xgboost,0.6221272107559648,0.8921568627450981,2.1597986270711788e-08,0.508658275997694,3.99217058800059,0.0784484169998904,4.070619005000481
363711,MIC,catboost,0.6353408631411879,0.888235294117647,5.713992499669609e-07,0.508418270259755,1.4002484809971063,0.0530952110020734,1.45334369199918
363711,MIC,group_model,0.623561543975505,0.8647058823529412,6.092421477065244e-07,0.5564715101504797,1.561897207000584,0.0592318420021911,1.621129049002775
363682,Is-this-a-good-customer,lightgbm,0.7173784323884242,0.8858800773694391,1.0000000000000004e-06,0.3521127340868089,0.0740214910001668,0.0112092370000027,0.0852307280001696
363682,Is-this-a-good-customer,xgboost,0.7465768632965731,0.874274661508704,0.2575195814657205,0.8640244230890011,0.8467332470027031,0.0179563519996008,0.864689599002304
363682,Is-this-a-good-customer,catboost,0.7411368514543705,0.8704061895551257,0.1289034157532307,0.3904500743243903,1.2985052879994328,0.0111960639987955,1.3097013519982283
363682,Is-this-a-good-customer,group_model,0.7440974021167936,0.8858800773694391,0.1300467056833528,0.3200138531924898,1.547885716001474,0.0287169990006077,1.5766027150020818
363684,Marketing_Campaign,lightgbm,0.8749825174825175,0.8720238095238095,0.572810516760899,0.2871562769005614,0.1276831469986064,0.016095300001325,0.1437784469999314
363684,Marketing_Campaign,xgboost,0.5366520979020978,0.8511904761904762,1.0000000000000004e-06,0.4158558489490236,0.6929037059999246,0.0162838329997612,0.7091875389996858
363684,Marketing_Campaign,catboost,0.8641083916083917,0.875,0.5323618045174643,0.2950264009356845,1.485435939001036,0.0150392059986188,1.5004751449996547
